2026-05-06 00:00:50.796 | INFO     | Backtest   | [回测 4/5] 模拟第 3801/4821 笔交易: 汉邦高科...
2026-05-06 00:00:51.006 | INFO     | Backtest   | [回测 4/5] 模拟第 3811/4821 笔交易: 山东高速...
2026-05-06 00:00:51.191 | INFO     | Backtest   | [回测 4/5] 模拟第 3821/4821 笔交易: 史丹利...
2026-05-06 00:00:51.348 | INFO     | Backtest   | [回测 4/5] 模拟第 3831/4821 笔交易: 起帆电缆...
2026-05-06 00:00:51.550 | INFO     | Backtest   | [回测 4/5] 模拟第 3841/4821 笔交易: 金丹科技...
2026-05-06 00:00:51.794 | INFO     | Backtest   | [回测 4/5] 模拟第 3851/4821 笔交易: 侨银股份...
2026-05-06 00:00:51.994 | INFO     | Backtest   | [回测 4/5] 模拟第 3861/4821 笔交易: 长青股份...
2026-05-06 00:00:52.215 | INFO     | Backtest   | [回测 4/5] 模拟第 3871/4821 笔交易: 力生制药...
2026-05-06 00:00:52.428 | INFO     | Backtest   | [回测 4/5] 模拟第 3881/4821 笔交易: 宁波中百...
2026-05-06 00:00:52.682 | INFO     | Backtest   | [回测 4/5] 模拟第 3891/4821 笔交易: 综艺股份...
2026-05-06 00:00:52.850 | INFO     | Backtest   | [回测 4/5] 模拟第 3901/4821 笔交易: 新开源...
2026-05-06 00:00:53.026 | INFO     | Backtest   | [回测 4/5] 模拟第 3911/4821 笔交易: 新美星...
2026-05-06 00:00:53.198 | INFO     | Backtest   | [回测 4/5] 模拟第 3921/4821 笔交易: 双良节能...
2026-05-06 00:00:53.358 | INFO     | Backtest   | [回测 4/5] 模拟第 3931/4821 笔交易: 雅本化学...
2026-05-06 00:00:53.501 | INFO     | Backtest   | [回测 4/5] 模拟第 3941/4821 笔交易: 世纪天鸿...
2026-05-06 00:00:53.679 | INFO     | Backtest   | [回测 4/5] 模拟第 3951/4821 笔交易: 浙江世宝...
2026-05-06 00:00:53.846 | INFO     | Backtest   | [回测 4/5] 模拟第 3961/4821 笔交易: 海王生物...
2026-05-06 00:00:53.958 | INFO     | Backtest   | [回测 4/5] 模拟第 3971/4821 笔交易: 明冠新材...
2026-05-06 00:00:54.069 | INFO     | Backtest   | [回测 4/5] 模拟第 3981/4821 笔交易: 天府文旅...
2026-05-06 00:00:54.236 | INFO     | Backtest   | [回测 4/5] 模拟第 3991/4821 笔交易: 华瓷股份...
2026-05-06 00:00:54.372 | INFO     | Backtest   | [回测 4/5] 模拟第 4001/4821 笔交易: 张裕Ａ...
2026-05-06 00:00:54.569 | INFO     | Backtest   | [回测 4/5] 模拟第 4011/4821 笔交易: 三变科技...
2026-05-06 00:00:54.734 | INFO     | Backtest   | [回测 4/5] 模拟第 4021/4821 笔交易: 塔牌集团...
2026-05-06 00:00:54.971 | INFO     | Backtest   | [回测 4/5] 模拟第 4031/4821 笔交易: 建工修复...
2026-05-06 00:00:55.169 | INFO     | Backtest   | [回测 4/5] 模拟第 4041/4821 笔交易: 浙江众成...
2026-05-06 00:00:55.395 | INFO     | Backtest   | [回测 4/5] 模拟第 4051/4821 笔交易: 海能实业...
2026-05-06 00:00:55.649 | INFO     | Backtest   | [回测 4/5] 模拟第 4061/4821 笔交易: 山推股份...
